# kapture format: 1.1
# timestamp, device_id, qw, qx, qy, qz, tx, ty, tz
1603467720, logitech, -2.7648854, -0.1617356, 1.7538439, 0.951852, 0.0795292, 0.2917894, 0.0501188
1603467740, logitech, -1.4448041, -0.2905802, -0.6982284, 0.8133249, 0.0895755, 0.5688297, 0.0831362
1603467759, logitech, -2.4050691, 3.0144706, 3.5463595, 0.7521567, 0.3631102, 0.3948033, 0.3828076
1603467778, logitech, -2.5311253, 6.6933093, 9.5152874, 0.6637697, 0.5694753, 0.099775, 0.4745025
1603467797, logitech, 5.1007199, 11.6500053, 24.6877689, 0.5262889, 0.6400756, -0.2651139, 0.4929888
1603467819, logitech, 19.8452187, 8.1910782, 33.8340034, 0.3059853, 0.6099465, -0.5882816, 0.4338929
1603467839, logitech, 32.226223, -4.4170723, 34.7077637, -0.0375286, -0.4838295, 0.8188708, -0.3065149
1603467869, logitech, 34.1968269, -21.3753433, 30.0653362, 0.236834, -0.2815717, 0.9205934, -0.1309003
1603467989, logitech, -1.4018612, -3.9225576, 31.1818905, 0.9649497, 0.0756206, 0.2502645, 0.0228339
