# kapture format: 1.1
# rig_id, sensor_id, qw, qx, qy, qz, tx, ty, tz
rig, lidar0, 2.7755575615628914e-17, -0.7071065623731627, 2.775557561562891e-17, -0.7071065623731627, -2.2204460492503132e-17, -0.4, 4.4408920985006264e-17
rig, lidar1, 0.5078526485994854, -0.5016236529095393, -0.4956696570293116, -0.4947426576707339, 0.8530451821650661, 0.023947487894147017, -0.014078157497652352
rig, 22970285, 0.9961943560988198, -0.08715594366579707, 5.551115123125783e-17, 0.0, 4.2106138900441864e-17, 0.7585167658481613, -0.26308222888717814
rig, 22970286, 0.862730176140169, -0.07547901541024865, 0.49809710169449295, -0.04357800889714779, 4.859028577075144e-08, 0.7585169867153745, -0.26308131716871497
rig, 22970288, 0.4980971016944929, -0.04357800889714773, 0.862730176140169, -0.07547901541024873, -4.859028570735581e-08, 0.7585169867153745, -0.26308131716871497
rig, 22970289, 0.0, 1.1102230246251565e-16, 0.9961943560988198, -0.08715594366579715, 4.2106138900441864e-17, 0.7585167658481613, -0.26308222888717814
rig, 22970290, -0.4980971016944929, 0.0435780088971478, 0.862730176140169, -0.07547901541024876, 4.859028579156812e-08, 0.7585169867153745, -0.26308131716871497
rig, 22970291, -0.8627301761401691, 0.0754790154102487, 0.49809710169449284, -0.04357800889714786, -4.859028568653913e-08, 0.7585169867153745, -0.26308131716871497
rig, AC01324954, 0.9622504041297736, -0.08418603535678781, 0.2578341082862, -0.02255800947400302, 8.64655776076572e-07, 0.8612863842075814, -0.2791071861039822
rig, AC01324955, 0.2578341082862, -0.022558009474002938, 0.9622504041297737, -0.08418603535678784, -8.646557759809501e-07, 0.8612863842075814, -0.2791071861039822
rig, AC01324968, 0.25783410828620007, -0.022558009474003105, -0.9622504041297735, 0.08418603535678792, 8.64655776076572e-07, 0.8612863842075814, -0.2791071861039822
rig, AC01324969, 0.9622504041297737, -0.08418603535678779, -0.25783410828620007, 0.02255800947400305, -8.646557759809501e-07, 0.8612863842075814, -0.2791071861039822
rig, AC01324954_wifi, 0.9622504041297736, -0.08418603535678781, 0.2578341082862, -0.02255800947400302, 8.64655776076572e-07, 0.8612863842075814, -0.2791071861039822
rig, AC01324954_bluetooth, 0.9622504041297736, -0.08418603535678781, 0.2578341082862, -0.02255800947400302, 8.64655776076572e-07, 0.8612863842075814, -0.2791071861039822
